periodo,indicador,valor,unidade,categoria,documento,url_origem,pagina,data_coleta
Dez/24,Carteira de crédito,546265.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
Mar/24,Carteira de crédito,549657.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
Dez/24,Carteira de crédito ampliada,682293.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
Mar/24,Carteira de crédito ampliada,682693.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
1T24,Provisão de crédito,-6682.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Provisão de crédito,-7012.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
1T24,Recuperação de crédito,750.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Recuperação de crédito,622.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
1T24,Resultado de PDD,-5932.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Resultado de PDD,-6390.0,R$ milhões,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
1T24,Índice de inadimplência 15-90 dias,3.7,%,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
4T24,Índice de inadimplência 15-90 dias,4.1,%,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
1T24,Índice de inadimplência acima de 90 dias,3.2,%,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
4T24,Índice de inadimplência acima de 90 dias,3.3,%,Crédito e risco,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,11,2026-08-14
1T24,Comissões,5515.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Comissões,5137.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
1T24,Lucro líquido,3855.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Lucro líquido,3861.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
1T24,Lucro líquido contábil,3746.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
4T24,Lucro líquido contábil,3778.0,R$ milhões,Desempenho financeiro,Informe de Resultados 1T25 (BRGAAP) - Santander Brasil,https://api.mziq.com/mzfilemanager/v2/d/a2595886-9fbb-4339-8a38-71d6ce7c7d36/118f8091-12e1-8f80-bee8-c6a1f3f1660e?origin=2,12,2026-08-14
